,Unnamed: 0,Rank,Name,Position,Height,Weight
0,0,1,arrison-barnes,SF,80,209
1,1,2,ared-sullinger,PF,80,262
2,2,3,yrie-irving,PG,74,172
3,3,4,randon-knight,PG,75,183
4,4,5,osh-selby,PG,75,183
5,5,6,obias-harris,PF,80,210
6,6,7,erry-jones,PF,83,220
7,7,8,ill-barton,SG,78,170
8,8,9,errence-jones,SF,81,230
9,9,10,ristan-thompson,PF,81,235
10,10,11,j-leslie,PF,81,205
11,11,12,eshaun-thomas,SF,79,221
12,12,13,atric-young,PF,81,220
13,13,14,abricio-melo,C,84,274
14,14,15,ion-waiters,SG,76,210
15,15,16,ory-joseph,PG,75,180
16,16,17,ay-mccallum,PG,73,179
17,17,18,eggie-bullock,SG,78,190
18,18,19,oshua-hairston,PF,81,220
19,19,20,osh-smith,C,81,320
20,20,21,oe-jackson,PG,72,175
21,21,22,endall-marshall,PG,76,180
22,22,23,ereme-richmond,SF,79,195
23,23,24,ony-mitchell,PF,80,215
24,24,25,Enes Kanter,C,81,240
25,25,26,dreian-payne,PF,81,215
26,26,27,eith-appling,SG,74,180
27,27,28,yler-lamb,SG,76,190
28,28,29,oron-lamb,SG,76,183
29,29,30,errence-ross,SF,78,180
30,30,31,ander-blue,SG,75,195
31,31,32,ameron-clark,SF,78,184
32,32,33,rey-zeigler,SG,77,190
33,33,34,oscoe-smith,SF,80,190
34,34,35,asey-prather,SF,78,195
35,35,36,karo-white,PF,80,180
36,36,37,an-miller,SG,74,180
37,37,38,ordan-mcrae,SG,77,175
38,38,39,Ryan Harrow,PG,72,160
39,39,40,wight-powell,PF,82,212
40,40,41,ames-bell,SF,76,217
41,41,42,hil-pressey,PG,70,162
42,42,43,eala-king,SF,78,200
43,43,44,elan-kendrick,SG,77,186
44,44,45,ychal-parker,SG,77,190
45,45,46,ustin-martin,SG,78,215
46,46,47,eyers-leonard,C,84,215
47,47,48,ate-lubick,PF,81,222
48,48,49,t-terrell,SG,75,165
49,49,50,ustin-coleman,SG,77,210
50,50,51,tacey-poole,SG,77,190
51,51,52,revor-releford,PG,71,175
52,52,53,Jamail Jones,SF,78,200
53,53,54,Gerard Coleman,SG,76,170
54,54,55,Luke Cothron,PF,80,205
55,55,56,Geron Johnson,SG,74,185
56,56,57,Allen Crabbe,SG,78,190
57,57,58,Dominique Ferguson,PF,80,209
58,58,59,arik-black,PF,80,230
59,59,60,ravis-mckie,SF,78,195
60,60,61,ussell-byrd,SG,79,190
61,61,62,ayvaughn-pinkston,PF,78,220
62,62,63,j-fair,SF,79,196
63,63,64,arson-desrosiers,C,82,210
64,64,65,ary-franklin-jr,PG,74,183
65,65,66,od-odom,SF,80,195
66,66,67,ason-morris,SF,77,204
67,67,68,amontre-harris,C,81,210
68,68,69,Bryce Jones,SG,77,175
69,69,70,alston-turner,SG,78,193
70,70,71,uwan-staten,PG,71,169
71,71,72,Andre Stringer,PG,70,170
72,72,73,oah-cottrill,PG,73,180
73,73,74,elvin-tabb,PF,80,220
74,74,75,ichael-cobbins,PF,80,190
75,75,76,arkel-starks,PG,74,175
76,76,77,J.J. Moore,SF,77,200
77,77,78,T.J. Taylor,PG,75,200
78,78,79,randall-head,SG,75,186
79,79,80,enzelle-smith-jr,SG,76,205
80,80,81,nthony-brown,SF,78,180
81,81,82,Jordan Sibert,SG,76,185
82,82,83,R.J. Slawson,PF,80,190
83,83,84,van-smotrycz,PF,81,210
84,84,85,Demarco Cox,PF,81,300
85,85,86,Justin Jackson,PF,80,210
86,86,87,Matt Derenbecker,SF,79,185
87,87,88,Stargell Love,PG,74,180
88,88,89,Maurice Jones,PG,67,150
89,89,90,K.T. Harrell,SG,76,200
90,90,91,aniel-bejarano,SG,76,204
91,91,92,ames-johnson,PF,81,212
92,92,93,"Tim Hardaway, Jr.",SG,77,185
93,93,94,aniel-alexander,PF,80,192
94,94,95,aran-buie,SG,74,172
95,95,96,erian-grant,SF,76,175
96,96,97,Terrell Stoglin,PG,71,180
97,97,98,Joseph Young,SG,74,180
98,98,99,lex-kirk,C,82,226
99,0,1,anthony-davis,PF,82,200
100,1,2,ndre-drummond,C,82,275
101,2,3,ustin-rivers,SG,76,189
102,3,4,ichael-gilchrist,SF,79,210
103,4,5,radley-beal,SG,76,205
104,5,6,ames-mcadoo,PF,80,216
105,6,7,uincy-miller,PF,81,210
106,7,8,arquis-teague,PG,74,175
107,8,9,donis-thomas,SF,78,210
108,9,10,ebryan-nash,SF,79,230
109,10,11,yck-kabongo,PG,74,170
110,11,12,khem-birch,C,81,210
111,12,13,j-hairston,SG,77,220
112,13,14,ody-zeller,PF,83,210
113,14,15,osiah-turner,PG,75,185
114,15,16,bj-young,PG,75,170
115,16,17,ony-wroten-jr,PG,76,206
116,17,18,dorian-finney-smith,SF,79,185
117,18,19,yle-wiltjer,PF,81,221
118,19,20,akeem-christmas,C,81,222
119,20,21,ichael-carter-williams,SG,77,175
120,21,22,ick-johnson,SG,75,185
121,22,23,randen-dawson,SF,78,220
122,23,24,entavious-caldwell-pope,SG,76,190
123,24,25,dom-pointer,SF,78,195
124,25,26,abari-brown,SG,75,200
125,26,27,ayne-blackshear,SG,77,205
126,27,28,hane-behanan,PF,79,230
127,28,29,ichael-gbinije,SF,78,194
128,29,30,evi-randolph,SG,77,180
129,30,31,odney-hood,SF,79,190
130,31,32,akarr-sampson,SF,80,200
131,32,33,ai-jon-parker,SG,74,185
132,33,34,hannon-scott,PG,74,170
133,34,35,arshall-plumlee,C,83,215
134,35,36,y-madden,SG,77,195
135,36,37,nick-faust,SG,78,175
136,37,38,uinn-cook,PG,73,180
137,38,39,aurice-harkless,SF,78,200
138,39,40,revor-lacey,SG,75,200
139,40,41,lex-murphy,SF,80,215
140,41,42,otto-porter,SF,81,200
141,42,43,mir-williams,C,82,220
142,43,44,ichael-chandler,C,82,225
143,44,45,am-thompson,SF,79,185
144,45,46,ohnny-obryant,PF,82,245
145,46,47,Sheldon McClellan,SG,77,190
146,47,48,ezmine-wells,SF,77,220
147,48,49,ben-mclemore,SF,77,185
148,49,50,ahii-carson,PG,71,160
149,50,51,amal-branch,PG,75,163
150,51,52,norman-powell,SG,74,175
151,52,53,aquinton-ross,SF,80,200
152,53,54,euce-bello,SF,76,180
153,54,55,unter-mickelson,PF,82,220
154,55,56,erik-copes,C,80,220
155,56,57,ach-price,C,82,230
156,57,58,alcolm-gilbert,C,83,214
157,58,59,adjehi-baru,C,81,225
158,59,60,hasson-randle,PG,73,170
159,60,61,ngelo-chol,PF,80,210
160,61,62,Jonathan Holmes,PF,80,220
161,62,63,yles-mack,PG,69,155
162,63,64,angelo-harrison,SG,75,180
163,64,65,revor-cooney,SG,76,185
164,65,66,yrone-johnson,PG,75,185
165,66,67,hris-jones,PG,70,165
166,67,68,ary-bell-jr,SG,74,175
167,68,69,ulian-royal,PF,80,200
168,69,70,Nnanna Egwu,C,82,220
169,70,71,Antwan Space,SF,79,200
170,71,73,alcolm-brogdon,SG,77,205
171,72,74,yan-boatright,PG,74,165
172,73,75,arlton-brundidge,SG,73,205
173,74,76,ulien-lewis,SG,75,190
174,75,77,orvel-pelle,PF,81,200
175,76,78,ikael-hopkins,C,80,210
176,77,79,Andre Hollins,SG,74,190
177,78,80,Jabril Trawick,SG,77,200
178,79,81,robert-brown,SG,76,175
179,80,82,sim-bhullar,C,88,330
180,81,83,joseph-uchebo,C,82,240
181,82,84,Trey Burke,PG,73,170
182,83,85,edren-johnson,PG,75,200
183,84,86,aadir-tharpe,PG,72,170
184,85,87,racy-abrams,PG,73,175
185,86,88,nthony-gill,PF,79,210
186,87,89,paul-jesperson,SF,79,185
187,88,90,Jarrod Uthoff,PF,80,200
188,89,91,ike-shaw,PF,80,220
189,90,92,TaShawn Thomas,PF,80,210
190,91,93,Ryan Anderson,PF,80,215
191,92,94,idiki-johnson,PF,80,220
192,93,95,oe-coleman,SG,76,200
193,94,96,evin-ware,SG,77,180
194,95,97,mycheal-henry,SF,78,220
195,96,98,D.J. Gardner,SF,78,205
196,97,99,mir-garrett,SF,78,190
197,98,100,j-barksdale,PF,80,210
198,0,1,erlens-noel,C,82,215
199,1,2,habazz-muhammad,SF,78,215
200,2,3,saiah-austin,C,84,210
201,3,4,aleb-tarczewski,C,84,240
202,4,5,yle-anderson,SF,79,210
203,5,6,steven-adams,C,82,235
204,6,7,anthony-bennett,PF,80,230
205,7,8,cameron-ridley,C,82,230
206,8,9,rant-jerrett,PF,82,220
207,9,10,arcus-smart,SG,75,200
208,10,11,gary-harris,SG,76,195
209,11,12,asheed-sulaimon,SG,75,175
210,12,13,alex-poythress,SF,79,215
211,13,14,ajuan-coleman,C,81,275
212,14,15,archie-goodwin,SG,77,181
213,15,16,randon-ashley,PF,80,215
214,16,17,sam-dekker,SF,79,195
215,17,18,glenn-robinson,SF,78,200
216,18,19,danuel-house,SF,78,185
217,19,20,odney-purvis,SG,76,190
218,20,21,icardo-ledo,SG,78,180
219,21,22,arcus-paige,PG,73,160
220,22,23,kris-dunn,PG,75,180
221,23,24,ogi-ferrell,PG,71,160
222,24,25,mile-jefferson,PF,79,190
223,25,26,ony-parker,C,81,270
224,26,27,itch-mcgary,PF,82,225
225,27,28,devonta-pollard,SF,79,200
226,28,29,j-warren,SF,79,205
227,29,30,haquille-cleare,C,81,270
228,30,31,shaq-goodwin,PF,80,245
229,31,32,mar-calhoun,SG,75,185
230,32,33,obert-carter,PF,80,250
231,33,34,brice-johnson,PF,81,210
232,34,35,erry-ellis,PF,80,220
233,35,36,icardo-gathers,PF,79,240
234,36,37,jerami-grant,PF,79,200
235,37,38,josh-scott,C,82,215
236,38,39,adam-woodbury,C,83,225
237,39,40,willie-cauley,C,82,215
238,40,41,ordan-adams,SF,77,220
239,41,42,eremy-hollowell,SF,79,190
240,42,43,ames-robinson,PG,75,195
241,43,44,yler-lewis,PG,71,165
242,44,45,lijah-macon,PF,80,210
243,45,46,yan-arcidiacono,PG,75,185
244,46,47,atin-reinhardt,SG,77,190
245,47,48,andrew-white,SF,78,195
246,48,49,ustin-anderson,SF,77,210
247,49,50,raxton-ogbueze,PG,73,185
248,50,51,danrad-knowles,PF,81,190
249,51,52,van-nolte,SF,79,190
250,52,53,winston-shepard,SF,80,205
251,53,53,solomon-poole,PG,72,180
252,54,54,daniel-ochefu,C,81,225
253,55,55,obert-upshaw,C,83,250
254,56,56,georges-niang,PF,79,230
255,57,57,ontay-brandon,SG,76,180
256,58,58,vauntes-smith-rivera,SG,75,220
257,59,59,prince-ibeh,C,82,225
258,60,60,joel-james,C,82,260
259,61,61,ordan-price,SG,77,220
260,62,62,ominic-artis,PG,71,165
261,63,63,j-rose,PG,75,180
262,64,64,cameron-biedscheid,SF,78,190
263,65,65,abe-york,SG,73,170
264,66,66,osco-allen,SF,81,210
265,67,67,jake-layman,SF,80,190
266,68,68,avier-johnson,SF,78,185
267,69,69,marcus-hunt,SF,78,215
268,70,70,p-tokoto,SF,78,195
269,71,71,anner-mosquera-perea,PF,80,210
270,72,72,avan-felix,PG,71,190
271,73,73,-mychal-reese,PG,74,170
272,74,74,terry-rozier,PG,73,165
273,75,75,ike-gesell,PG,73,185
274,76,76,nik-stauskas,SF,78,205
275,77,77,stephen-domingo,SF,79,200
276,78,78,christopher-obekpa,C,80,225
277,79,79,kellen-dunham,SG,77,170
278,80,80,codi-miller-mcintyre,PG,74,170
279,81,81,mike-tobey,C,83,210
280,82,82,j-hammons,C,84,275
281,83,83,Fred Van Vleet,PG,71,175
282,84,84,steve-taylor,SF,79,175
283,85,85,melvin-johnson,SG,75,175
284,86,86,kenny-kaminski,PF,79,230
285,87,87,matt-costello,PF,81,225
286,88,88,apheal-davis,SG,77,200
287,89,89,rant-verhoeven,C,80,215
288,90,90,montrezl-harrell,PF,80,215
289,91,91,torian-graham,SG,76,200
290,92,92,maurice-watson,PG,69,150
291,93,93,ronnie-johnson,PG,70,160
292,94,94,connor-lammert,PF,82,220
293,95,95,jaron-blossomgame,SF,79,200
294,96,96,ordan-burgess,SF,77,195
295,97,97,jordan-loveridge,SF,78,225
296,98,98,enzel-valentine,SF,77,205
297,0,1,andrew-wiggins,SF,79,205
298,1,2,jabari-parker,SF,80,220
299,2,3,julius-randle,PF,81,225
300,3,4,aron-gordon,PF,80,210
301,4,5,andrew-harrison,PG,77,210
302,5,6,joel-embiid,C,83,230
303,6,7,dakari-johnson,C,82,250
304,7,8,james-young,SF,78,210
305,8,9,aaron-harrison,SG,77,205
306,9,10,kasey-hill,PG,72,170
307,10,11,jarrell-martin,PF,79,210
308,11,12,chris-walker,PF,82,195
309,12,13,noah-vonleh,PF,80,220
310,13,14,wayne-selden,SF,77,220
311,14,15,austin-nichols,PF,80,200
312,15,16,bobby-portis,PF,81,225
313,16,17,rysheed-jordan,PG,75,180
314,17,18,isaiah-hicks,PF,80,210
315,18,19,igel-williams-goss,PG,75,180
316,19,20,tyler-ennis,PG,74,180
317,20,21,rondae-hollis-jefferson,SF,79,215
318,21,22,zak-irvin,SF,78,185
319,22,23,jabari-bird,SG,78,190
320,23,24,demetrius-jackson,PG,73,170
321,24,25,marcus-lee,PF,81,200
322,25,26,anthony-barber,PG,74,165
323,26,27,jajuan-johnson,SG,77,185
324,27,28,eric-mika,C,81,220
325,28,29,robert-hubbs,SG,77,185
326,29,30,derrick-walton,PG,72,165
327,30,31,tyler-roberson,PF,79,200
328,31,32,isaac-hamilton,SG,77,185
329,32,33,kuran-iverson,SF,80,200
330,33,34,Luke Fischer,C,81,200
331,34,35,jermaine-lawrence,PF,81,190
332,35,36,matt-jones,SG,76,180
333,36,37,nick-king,SF,78,210
334,37,38,jordan-mickey,PF,80,220
335,38,39,deonte-burton,SF,76,228
336,39,40,semi-ojeleye,SF,78,220
337,40,41,sindarius-thornwell,SG,77,180
338,41,42,devin-williams,PF,80,220
339,42,43,moses-kingsley,C,81,210
340,43,44,avier-rathan-mayes,SG,75,180
341,44,45,nick-emery,PG,74,180
342,45,46,conner-frankamp,PG,72,155
343,46,47,brannen-greene,SG,78,215
344,47,48,anton-gill,SG,75,185
345,48,49,keith-frazier,SG,77,190
346,49,50,zach-lavine,PG,75,165
347,50,51,matt-thomas,SG,75,185
348,51,52,roddy-peters,PG,76,180
349,52,53,duane-wilson,PG,75,176
350,53,54,troy-williams,SF,79,190
351,54,55,johnathan-williams-iii,PF,80,208
352,55,56,brandon-austin,SF,78,180
353,56,57,mike-young,PF,80,245
354,57,58,kameron-williams,SG,75,170
355,58,59,kennedy-meeks,C,81,275
356,59,60,ishmail-wainright,SF,78,220
357,60,61,kendrick-nunn,SG,74,175
358,61,62,marc-loving,SF,80,200
359,62,63,reggie-cameron,PF,79,210
360,63,64,john-egbunu,C,82,230
361,64,65,kendall-stephens,SG,77,195
362,65,66,malcolm-hill,SG,78,205
363,66,67,beejay-anya,C,81,275
364,67,68,stevie-clark,PG,70,160
365,68,69,jimmie-taylor,C,82,210
366,69,70,vj-beachem,SF,78,180
367,70,71,christian-wood,PF,82,210
368,71,72,allerik-freeman,SG,75,205
369,72,73,ris-jenkins,PF,77,250
370,73,74,mamadou-ndiaye,C,89,310
371,74,75,akoy-agau,PF,81,240
372,75,76,treshaun-fletcher,SF,78,185
373,76,77,karviar-shepherd,C,81,215
374,77,78,jordan-bell,PF,79,190
375,78,79,wes-clark,PG,72,170
376,79,80,tim-quarterman,PG,77,180
377,80,81,damian-jones,PF,81,220
378,81,82,bj-johnson,SF,79,165
379,82,83,nigel-hayes,PF,79,215
380,83,84,monte-morris,PG,73,165
381,84,85,kendal-yancy-harris,PG,76,195
382,85,86,brandon-randolph,PG,73,175
383,86,87,cullen-neal,PG,76,170
384,87,88,kendall-smith,PG,74,165
385,88,89,mark-donnal,PF,80,225
386,89,90,dominic-woodson,C,82,290
387,90,91,jaren-sina,PG,74,175
388,91,92,josh-hart,SF,76,190
389,92,93,elliott-pitts,SG,77,190
390,93,94,billy-garrett-jr,PG,76,170
391,94,95,rashawn-powell,PG,72,170
392,95,96,london-perrantes,PG,73,155
393,96,97,kyle-washington,PF,81,215
394,97,98,kentan-facey,PF,81,195
395,98,99,stanford-robinson,SF,76,175
396,0,1,jahlil-okafor,C,82,265
397,1,2,myles-turner,C,84,240
398,2,3,cliff-alexander,PF,81,240
